,Date,Top,Bottoms,Shoes,Jumper,Coat,Max temp,Min temp,Average temp,Precipitation,Activity,Mood,Warmth goal,Warmth level,Warmth met,Comfort goal,Comfort level,Comfort met,Formal goal,Formal level,Formal met
0,01/03/2023,1,10,20,31,41,6,-2.2,1.9,0,Work,1,a,11,TRUE,a,9,TRUE,a,10,TRUE
1,02/03/2023,0,12,23,29,39,7.8,-3.1,2.35,0,Work,1,a,11,TRUE,a,9,TRUE,a,10,TRUE
2,03/03/2023,2,11,22,31,37,5,-0.5,2.25,0,Outside,4,a,11,TRUE,c,6,TRUE,c,13,TRUE
3,04/03/2023,2,13,22,29,40,3.9,-0.8,1.55,0,University,5,a,13,TRUE,c,6,TRUE,b,11,TRUE
4,05/03/2023,4,12,23,30,41,2.6,-2.6,0,0.2,Friends,1,a,11,TRUE,a,9,TRUE,a,10,TRUE
5,06/03/2023,3,10,23,28,40,3,-6.7,-1.85,0,Relax,2,a,11,TRUE,a,13,TRUE,c,6,TRUE
6,07/03/2023,4,14,19,29,40,2.6,-0.6,1,7.8,University,3,a,11,TRUE,b,10,TRUE,b,9,TRUE
7,08/03/2023,4,11,21,29,41,2.2,-5.4,-1.6,0.5,University,5,a,13,TRUE,c,6,TRUE,b,11,TRUE
8,09/03/2023,1,11,19,32,39,3,-6.9,-1.95,0.1,Work,3,a,11,TRUE,b,11,TRUE,a,8,TRUE
9,10/03/2023,5,9,20,30,39,3.4,-3,0.2,0,Work,2,a,11,TRUE,a,9,TRUE,a,10,TRUE
10,11/03/2023,4,12,23,30,41,4,-1.2,1.4,0.8,Friends,1,a,11,TRUE,a,9,TRUE,a,10,TRUE
11,12/03/2023,3,12,20,33,39,3.9,-0.3,1.8,1.1,Relax,5,a,12,TRUE,c,6,TRUE,c,6,TRUE
12,13/03/2023,4,9,22,29,39,11,0.7,5.85,10.4,Friends,4,b,11,TRUE,c,6,TRUE,a,13,TRUE
13,14/03/2023,1,10,19,30,42,10,2.7,6.35,2.8,Relax,4,b,10,TRUE,c,14,TRUE,c,6,TRUE
14,15/03/2023,3,14,19,30,38,5.5,0.8,3.15,3.1,Outside,2,a,11,TRUE,a,13,TRUE,c,6,TRUE
15,16/03/2023,1,11,19,28,38,5.6,-2.2,1.7,0.3,Relax,1,a,11,TRUE,a,13,TRUE,c,6,TRUE
16,17/03/2023,3,11,22,27,38,7.5,4.1,5.8,0.3,Work,2,b,11,TRUE,a,9,TRUE,a,10,TRUE
17,18/03/2023,2,13,22,27,39,10.8,5.4,8.1,3.9,Work,5,b,11,TRUE,c,6,TRUE,a,13,TRUE
