ID,Type,Description,Warmth,Comfort,Formal
0,Top,summer top,1,2,3
1,Top,t shirt,2,3,1
2,Top,long sleeve top,3,1,2
3,Top,thermal top,3,2,1
4,Top,blouse,2,1,3
5,Top,tank top,1,3,2
6,Top,top1,1,1,1
7,Top,top2,2,2,2
8,Top,top3,3,3,3
9,Bottoms,skirt,1,2,3
10,Bottoms,leggings,2,3,1
11,Bottoms,wool pants,3,1,2
12,Bottoms,thermal pants,3,2,1
13,Bottoms,business pants,2,1,3
14,Bottoms,jeans,1,3,2
15,Bottoms,bottoms1,1,1,1
16,Bottoms,bottoms2,2,2,2
17,Bottoms,bottoms3,3,3,3
18,Shoes,heels,1,2,3
19,Shoes,sneakers,2,3,1
20,Shoes,boots,3,1,2
21,Shoes,hiking boots,3,2,1
22,Shoes,leather shoes,2,1,3
23,Shoes,sandals,1,3,2
24,Shoes,shoes1,1,1,1
25,Shoes,shoes2,2,2,2
26,Shoes,shoes3,3,3,3
27,Jumper,shawl,1,2,3
28,Jumper,hoodie,2,3,1
29,Jumper,cute itchy sweater,3,1,2
30,Jumper,practical sweater,3,2,1
31,Jumper,cardigan,2,1,3
32,Jumper,one of those sweaters that only has sleeves,1,3,2
33,Jumper,nothing,0,0,0
34,Jumper,jumper1,1,1,1
35,Jumper,jumper2,2,2,2
36,Jumper,jumper3,3,3,3
37,Coat,thin trench coat,1,2,3
38,Coat,rain jacket,2,3,1
39,Coat,wool coat,3,1,2
40,Coat,hiking coat,3,2,1
41,Coat,blazer,2,1,3
42,Coat,denim jacket,1,3,2
43,Coat,nothing,0,0,0
44,Coat,coat1,1,1,1
45,Coat,coat2,2,2,2
46,Coat,coat3,3,3,3
